STARTTIME;SOURCE;DEST;PROTO;PACKETS;BYTES;DURATION
2019-09-03T05:00:03;8.8.8.8:53;10.23.35.133:64352;udp;1;78;00:00:00
2019-09-03T05:00:24;8.8.8.8:53;10.23.35.61:45153;udp;11;2191;00:00:00
2019-09-03T05:00:47;8.8.8.8:53;10.23.35.133:64967;udp;1;187;00:00:00
2019-09-03T05:01:00;8.8.8.8:53;10.23.35.61:53988;udp;11;2188;00:00:00
2019-09-03T05:01:36;8.8.8.8:53;10.23.35.61:11649;udp;11;2194;00:00:00
2019-09-03T05:01:46;8.8.8.8:53;10.23.35.133:56183;udp;1;141;00:00:00
2019-09-03T05:01:51;8.8.8.8:53;10.23.35.133:54222;udp;1;137;00:00:00
2019-09-03T05:02:12;8.8.8.8:53;10.23.35.61:57450;udp;11;2197;00:00:00
2019-09-03T05:02:33;8.8.8.8:53;10.23.35.133:55622;udp;1;78;00:00:00
2019-09-03T05:02:48;8.8.8.8:53;10.23.35.61:19080;udp;11;2194;00:00:00
2019-09-03T05:03:08;8.8.8.8:53;10.23.35.133:62722;udp;1;135;00:00:00
2019-09-03T05:03:24;8.8.8.8:53;10.23.35.61:2574;udp;11;2203;00:00:00
2019-09-03T05:03:31;8.8.8.8:53;10.23.35.133:63682;udp;1;137;00:00:00
2019-09-03T05:04:00;8.8.8.8:53;10.23.35.61:16115;udp;11;2197;00:00:00
2019-09-03T05:04:14;8.8.8.8:53;10.23.35.133:53382;udp;1;81;00:00:00
2019-09-03T05:04:15;8.8.8.8:53;10.23.35.133:56465;udp;1;161;00:00:00
2019-09-03T05:04:36;8.8.8.8:53;10.23.35.61:47284;udp;11;2194;00:00:00
2019-09-03T05:04:51;8.8.8.8:53;10.23.35.133:54920;udp;1;105;00:00:00
2019-09-03T05:03:49;8.8.8.8:53;10.23.35.133:1024;udp;2;168;00:01:04
2019-09-03T05:04:57;8.8.8.8:53;10.23.35.133:56922;udp;1;135;00:00:00
2019-09-03T05:05:02;8.8.8.8:53;10.23.35.133:55476;udp;1;124;00:00:00
2019-09-03T05:05:09;8.8.8.8:53;10.23.35.133:49414;udp;1;116;00:00:00
2019-09-03T05:05:12;8.8.8.8:53;10.23.35.61:21375;udp;11;2188;00:00:00
2019-09-03T05:05:33;8.8.8.8:53;10.23.35.133:49510;udp;1;139;00:00:00
2019-09-03T05:05:47;8.8.8.8:53;10.23.35.61:42157;udp;11;2194;00:00:00
2019-09-03T05:05:48;8.8.8.8:53;10.23.35.133:63998;udp;1;83;00:00:00
2019-09-03T05:06:23;8.8.8.8:53;10.23.35.61:4831;udp;11;2200;00:00:00
2019-09-03T05:06:31;8.8.8.8:53;10.23.35.133:60207;udp;1;187;00:00:00
2019-09-03T05:06:59;8.8.8.8:53;10.23.35.61:18420;udp;11;2197;00:00:00
2019-09-03T05:07:35;8.8.8.8:53;10.23.35.61:13447;udp;11;2197;00:00:00
2019-09-03T05:08:11;8.8.8.8:53;10.23.35.61:22804;udp;11;2191;00:00:00
2019-09-03T05:08:47;8.8.8.8:53;10.23.35.61:36599;udp;11;2200;00:00:00
2019-09-03T05:09:23;8.8.8.8:53;10.23.35.61:7257;udp;11;2194;00:00:00
2019-09-03T05:09:24;8.8.8.8:53;10.23.35.133:57777;udp;1;124;00:00:00
2019-09-03T05:09:59;8.8.8.8:53;10.23.35.61:21203;udp;11;2191;00:00:00
2019-09-03T05:10:35;8.8.8.8:53;10.23.35.61:41387;udp;11;2197;00:00:00
2019-09-03T05:11:11;8.8.8.8:53;10.23.35.61:26653;udp;11;2200;00:00:00
2019-09-03T05:11:47;8.8.8.8:53;10.23.35.61:32118;udp;11;2200;00:00:00
2019-09-03T05:12:23;8.8.8.8:53;10.23.35.61:52539;udp;11;2200;00:00:00
2019-09-03T05:12:48;8.8.8.8:53;10.23.35.133:51885;udp;1;81;00:00:00
2019-09-03T05:12:59;8.8.8.8:53;10.23.35.61:42719;udp;11;2200;00:00:00
2019-09-03T05:13:05;8.8.8.8:53;10.23.35.133:55315;udp;1;81;00:00:00
2019-09-03T05:13:35;8.8.8.8:53;10.23.35.61:30812;udp;11;2203;00:00:00
2019-09-03T05:13:40;8.8.8.8:53;10.23.35.133:65461;udp;1;140;00:00:00
2019-09-03T05:14:10;8.8.8.8:53;10.23.35.61:11572;udp;11;2194;00:00:00
2019-09-03T05:14:24;8.8.8.8:53;10.23.35.133:59991;udp;1;81;00:00:00
2019-09-03T05:14:36;8.8.8.8:53;10.23.35.133:57310;udp;1;78;00:00:00
2019-09-03T05:14:46;8.8.8.8:53;10.23.35.61:2350;udp;11;2197;00:00:00
2019-09-03T05:15:22;8.8.8.8:53;10.23.35.61:40684;udp;11;2194;00:00:00
2019-09-03T05:15:47;8.8.8.8:53;10.23.35.133:65427;udp;1;166;00:00:00
2019-09-03T05:15:58;8.8.8.8:53;10.23.35.61:52998;udp;11;2194;00:00:00
2019-09-03T05:16:34;8.8.8.8:53;10.23.35.61:46169;udp;11;2194;00:00:00
2019-09-03T05:17:10;8.8.8.8:53;10.23.35.61:35942;udp;11;2200;00:00:00
2019-09-03T05:17:46;8.8.8.8:53;10.23.35.61:19786;udp;11;2200;00:00:00
2019-09-03T05:18:21;8.8.8.8:53;10.23.35.61:50348;udp;11;2203;00:00:00
2019-09-03T05:18:42;8.8.8.8:53;10.23.35.133:58612;udp;1;140;00:00:00
2019-09-03T05:18:57;8.8.8.8:53;10.23.35.61:31359;udp;11;2200;00:00:00
2019-09-03T05:19:33;8.8.8.8:53;10.23.35.61:38031;udp;11;2194;00:00:00
2019-09-03T05:20:05;8.8.8.8:53;10.23.35.133:52248;udp;1;166;00:00:00
2019-09-03T05:20:09;8.8.8.8:53;10.23.35.61:52481;udp;11;2200;00:00:00
2019-09-03T05:20:16;8.8.8.8:53;10.23.35.133:50319;udp;1;124;00:00:00
2019-09-03T05:20:27;8.8.8.8:53;10.23.35.133:57476;udp;1;78;00:00:00
2019-09-03T05:20:45;8.8.8.8:53;10.23.35.61:6449;udp;11;2191;00:00:00
2019-09-03T05:21:21;8.8.8.8:53;10.23.35.61:51415;udp;11;2197;00:00:00
2019-09-03T05:21:57;8.8.8.8:53;10.23.35.61:29337;udp;11;2200;00:00:00
2019-09-03T05:22:33;8.8.8.8:53;10.23.35.61:37227;udp;11;2197;00:00:00
2019-09-03T05:23:08;8.8.8.8:53;10.23.35.133:55455;udp;1;135;00:00:00
2019-09-03T05:23:09;8.8.8.8:53;10.23.35.61:43361;udp;11;2203;00:00:00
2019-09-03T05:23:45;8.8.8.8:53;10.23.35.61:5578;udp;11;2191;00:00:00
2019-09-03T05:24:21;8.8.8.8:53;10.23.35.61:19479;udp;11;2200;00:00:00
2019-09-03T05:24:33;8.8.8.8:53;10.23.35.133:57736;udp;1;80;00:00:00
2019-09-03T05:24:35;8.8.8.8:53;10.23.35.133:56242;udp;1;81;00:00:00
2019-09-03T05:24:38;8.8.8.8:53;10.23.35.133:57255;udp;1;124;00:00:00
2019-09-03T05:24:57;8.8.8.8:53;10.23.35.133:63378;udp;1;135;00:00:00
2019-09-03T05:24:57;8.8.8.8:53;10.23.35.61:17896;udp;11;2197;00:00:00
2019-09-03T05:25:07;8.8.8.8:53;10.23.35.133:54031;udp;1;116;00:00:00
2019-09-03T05:25:33;8.8.8.8:53;10.23.35.61:8896;udp;11;2191;00:00:00
2019-09-03T05:26:09;8.8.8.8:53;10.23.35.61:23841;udp;17;3453;00:00:21
2019-09-03T05:26:52;8.8.8.8:53;10.23.35.61:59522;udp;11;2197;00:00:00
2019-09-03T05:27:28;8.8.8.8:53;10.23.35.61:37536;udp;11;2191;00:00:00
2019-09-03T05:27:48;8.8.8.8:53;10.23.35.133:56150;udp;1;81;00:00:00
2019-09-03T05:28:04;8.8.8.8:53;10.23.35.61:4310;udp;11;2197;00:00:00
2019-09-03T05:28:06;8.8.8.8:53;10.23.35.133:65248;udp;1;81;00:00:00
2019-09-03T05:28:40;8.8.8.8:53;10.23.35.61:6666;udp;11;2197;00:00:00
2019-09-03T05:29:16;8.8.8.8:53;10.23.35.61:31140;udp;11;2194;00:00:00
2019-09-03T05:29:33;8.8.8.8:53;10.23.35.133:49283;udp;1;139;00:00:00
2019-09-03T05:29:46;8.8.8.8:53;10.23.35.133:59774;udp;1;140;00:00:00
2019-09-03T05:29:52;8.8.8.8:53;10.23.35.61:35435;udp;11;2191;00:00:00
2019-09-03T05:30:21;8.8.8.8:53;10.23.35.133:57857;udp;1;78;00:00:00
2019-09-03T05:30:28;8.8.8.8:53;10.23.35.61:25981;udp;11;2194;00:00:00
2019-09-03T05:31:04;8.8.8.8:53;10.23.35.61:35799;udp;11;2194;00:00:00
2019-09-03T05:31:40;8.8.8.8:53;10.23.35.61:32175;udp;11;2194;00:00:00
2019-09-03T05:31:48;8.8.8.8:53;10.23.35.133:53461;udp;1;140;00:00:00
2019-09-03T05:31:59;8.8.8.8:53;10.23.35.133:61723;udp;1;140;00:00:00
2019-09-03T05:32:16;8.8.8.8:53;10.23.35.61:2162;udp;11;2194;00:00:00
2019-09-03T05:32:46;8.8.8.8:53;10.23.35.133:54476;udp;1;141;00:00:00
2019-09-03T05:32:52;8.8.8.8:53;10.23.35.61:31425;udp;11;2194;00:00:00
2019-09-03T05:33:28;8.8.8.8:53;10.23.35.61:3045;udp;11;2197;00:00:00
2019-09-03T05:33:36;8.8.8.8:53;10.23.35.133:62174;udp;1;78;00:00:00
2019-09-03T05:34:03;8.8.8.8:53;10.23.35.61:11235;udp;11;2188;00:00:00
2019-09-03T05:34:32;8.8.8.8:53;10.23.35.133:53296;udp;1;140;00:00:00
2019-09-03T05:34:39;8.8.8.8:53;10.23.35.61:43213;udp;11;2194;00:00:00
2019-09-03T05:34:46;8.8.8.8:53;10.23.35.133:59252;udp;1;81;00:00:00
2019-09-03T05:35:15;8.8.8.8:53;10.23.35.61:18338;udp;11;2191;00:00:00
2019-09-03T05:35:24;8.8.8.8:53;10.23.35.133:59662;udp;1;124;00:00:00
2019-09-03T05:35:51;8.8.8.8:53;10.23.35.61:29570;udp;11;2194;00:00:00
2019-09-03T05:36:10;8.8.8.8:53;10.23.35.133:53854;udp;1;78;00:00:00
2019-09-03T05:36:27;8.8.8.8:53;10.23.35.61:13579;udp;11;2194;00:00:00
2019-09-03T05:37:03;8.8.8.8:53;10.23.35.61:53001;udp;11;2194;00:00:00
2019-09-03T05:37:30;8.8.8.8:53;10.23.35.133:53759;udp;1;116;00:00:00
2019-09-03T05:37:38;8.8.8.8:53;10.23.35.61:12358;udp;11;2197;00:00:00
2019-09-03T05:38:01;8.8.8.8:53;10.23.35.133:64635;udp;1;191;00:00:00
2019-09-03T05:38:14;8.8.8.8:53;10.23.35.61:14880;udp;11;2194;00:00:00
2019-09-03T05:38:37;8.8.8.8:53;10.23.35.133:59333;udp;1;158;00:00:00
2019-09-03T05:38:38;8.8.8.8:53;10.23.35.133:53408;udp;1;166;00:00:00
2019-09-03T05:38:50;8.8.8.8:53;10.23.35.61:51325;udp;11;2197;00:00:00
2019-09-03T05:39:26;8.8.8.8:53;10.23.35.61:45360;udp;11;2191;00:00:00
2019-09-03T05:39:42;8.8.8.8:53;10.23.35.133:51418;udp;1;124;00:00:00
2019-09-03T05:39:42;8.8.8.8:53;10.23.35.133:49331;udp;1;80;00:00:00
2019-09-03T05:40:02;8.8.8.8:53;10.23.35.61:40516;udp;11;2200;00:00:00
2019-09-03T05:40:38;8.8.8.8:53;10.23.35.61:12425;udp;11;2191;00:00:00
2019-09-03T05:41:14;8.8.8.8:53;10.23.35.61:16127;udp;11;2194;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55764;udp;1;145;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55588;udp;1;146;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:57415;udp;1;116;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55917;udp;1;281;00:00:00
